capacidade_operacional,cnpj,contratos_ativos,desagio,desagio_evidence,desagio_status,distribuicao_geografica,identidade_canonica,n_contratos,nome,orgaos_em_que_venceu,rank,selection_justification,selection_score,ticket_contratado_medio,ticket_formula,tipos_objeto,valor_contratado_total,valor_semantica
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",00802002000102,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 1}",00802002000102,39605,ALTERMED MAT.MED.HOSPITALAR LTDA,"[""AGENCIA PUBLICA INTERMUNICIPAL DE SERVICOS DO VALE EUROPEU - APIS"", ""CAMARA DE VEREADORES DO MUNICIPIO DE CANELINHA"", ""CÂMARA MUNICIPAL DE VEREADORES DE NAVEGANTES"", ""CÂMARA MUNICIPAL DE VEREADORES IPORA DO OESTE"", ""CIALAR"", ""CINCATARINA - COMPRADOR"", ""Consórcio Interfederativo de Saúde da Região da Amures - CISAMURES"", ""CONSORCIO INTERMUNICIPAL DE ASSISTENCIA SOCIAL E SAUDE - CIASS"", ""CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO DA INFRAESTRUTURA RODOVIARIA ENTRE OS RIOS - CIDIRIOS"", ""CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO DA AMURES - CIS AMURES"", ""CONSORCIO INTERMUNICIPAL DE SAUDE DO ALTO URUGUAI CATARINENSE"", ""CONSORCIO INTERMUNICIPAL DE SAUDE E ASSISTENCIA SOCIAL"", ""DEPARTAMENTO ADMINISTRATIVO"", ""EBSERH - H U PROF POLYDORO ERNANI DE S THIAGO"", ""FUNDACAO CULTURAL DE GUABIRUBA"", ""FUNDACAO CULTURAL DE SAO CARLOS"", ""FUNDACAO DE SAUDE DE LAURO MULLER"", ""FUNDAÇÃO HOSPITALAR DR JOSÉ ATHANAZIO"", ""FUNDAÇÃO HOSPITALAR MUNICIPAL DE CANELINHA"", ""FUNDACAO MUNICIPAL DE DESPORTOS DO MUNICIPIO DE SAO BENTO DO SUL""]",1,"rank by ('n_contratos', 'valor_contratado_total'): n=39605, valor=69693800.96; min_contracts>=1",39674693800.96,1759.72,valor_contratado_total / n_contratos,"[""contrato_pncp""]",69693800.96,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",03652030000332,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 1}",03652030000332,38496,CENTERMEDI COMERCIO DE PRODUTOS HOSPITALARES LTDA   FILIAL SC,"[""AGENCIA PUBLICA INTERMUNICIPAL DE SERVICOS DO VALE EUROPEU - APIS"", ""CÂMARA DE VEREADORES DE BALNEÁRIO CAMBORIÚ"", ""CAMARA MUNICIPAL DE GAROPABA"", ""CAMARA MUNICIPAL DE VEREADORES DE CONCORDIA\t"", ""CAMARA MUNICIPAL DE VEREADORES DE ITAPIRANGA"", ""CÂMARA MUNICIPAL DE VEREADORES DE XANXERÊ"", ""CAMARA MUNICIPAL DO MUNICIPIO DE GUARAMIRIM"", ""Consórcio Interfederativo de Saúde da Região da Amures - CISAMURES"", ""Consórcio Intermunicipal de Saúde (CIS-A"", ""CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO DA AMURES - CIS AMURES"", ""CONSORCIO INTERMUNICIPAL DO MEDIO VALE DO ITAJAI - CIMVI\t"", ""EMPRESA MUNICIPAL DE AGUA E SANEAMENTO DE BALNEARIO CAMBORIU"", ""FUNDACAO CULTURAL DE GUABIRUBA"", ""FUNDACAO CULTURAL DE SÃO BENTO DO SUL"", ""FUNDACAO CULTURAL DE SAO CARLOS"", ""FUNDACAO DE SAUDE DE LAURO MULLER"", ""FUNDAÇÃO HOSPITALAR DR JOSÉ ATHANAZIO"", ""FUNDAÇÃO HOSPITALAR MUNICIPAL DE CANELINHA"", ""FUNDACAO MUNICIPAL DE EDUCACAO DE TUBARAO"", ""FUNDACAO MUNICIPAL DE MEIO AMBIENTE DE TUBARAO""]",2,"rank by ('n_contratos', 'valor_contratado_total'): n=38496, valor=88172380.39; min_contracts>=1",38584172380.39,2290.43,valor_contratado_total / n_contratos,"[""contrato_pncp""]",88172380.39,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",45747626000102,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 1}",45747626000102,28432,OTHALA COMERCIO LTDA,"[""AGENCIA PUBLICA INTERMUNICIPAL DE SERVICOS DO VALE EUROPEU - APIS"", ""AGENCIA REGULADORA DE SANEAMENTO DE TUBARAO\t"", ""AGÊNCIA REGULADORA INTERMUNICIPAL DE SANEAMENTO - ARIS"", ""ÁGUAS DE CORUPÁ"", ""ARARANGUA CAMARA DE VEREADORES"", ""ASSOCIACAO DOS MUNICIPIOS DO PLANALTO NORTE AMPLANORTE"", ""BALNEARIO PIÇARRAS CAMARA MUNICIPAL DE VEREADORES"", ""CAMARA DE VEREADORES"", ""CÂMARA DE VEREADORES DE AGROLÂNDIA"", ""CÂMARA DE VEREADORES DE ARROIO TRINTA"", ""CAMARA DE VEREADORES DE AURORA"", ""CÂMARA DE VEREADORES DE BALNEÁRIO CAMBORIÚ"", ""CAMARA DE VEREADORES DE BARRA VELHA"", ""CÂMARA DE VEREADORES DE CUNHATAÍ"", ""CAMARA DE VEREADORES DE IMBUIA"", ""CAMARA DE VEREADORES DE IPUMIRIM"", ""CAMARA DE VEREADORES DE IRATI\t"", ""CÂMARA DE VEREADORES DE LAURENTINO"", ""CÂMARA DE VEREADORES DE PENHA"", ""CÂMARA DE VEREADORES DE PONTE ALTA""]",3,"rank by ('n_contratos', 'valor_contratado_total'): n=28432, valor=21030188.71; min_contracts>=1",28453030188.71,739.67,valor_contratado_total / n_contratos,"[""contrato_pncp""]",21030188.71,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",05531725000120,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 1}",05531725000120,27661,SOMA/SC PRODUTOS HOSPITALARES LTDA.,"[""AGENCIA PUBLICA INTERMUNICIPAL DE SERVICOS DO VALE EUROPEU - APIS"", ""COMITE DESPORTIVO MUNICIPAL DE SÃO LOURENÇO"", ""Consórcio Interfederativo de Saúde da Região da Amures - CISAMURES"", ""CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO DA AMURES - CIS AMURES"", ""Coordenadoria de Recursos Materiais"", ""EBSERH - H U PROF POLYDORO ERNANI DE S THIAGO"", ""FUNDACAO DE SAUDE DE LAURO MULLER"", ""FUNDAÇÃO HOSPITALAR DR JOSÉ ATHANAZIO"", ""FUNDAÇÃO HOSPITALAR MUNICIPAL DE CANELINHA"", ""FUNDACAO MUNICIPAL DE MEIO AMBIENTE DE TUBARAO"", ""FUNDACAO MUNICIPAL DE SAUDE DE TUBARAO"", ""FUNDO DE SAÚDE DO MUNICÍPIO DE MONTE CASTELO"", ""FUNDO MUNICIPAL DA SAUDE DE OURO"", ""FUNDO MUNICIPAL DA SAUDE DO MUNICÍPIO DE GRÃO-PARÁ"", ""FUNDO MUNICIPAL DA SAUDE DO MUNICÍPIO DE JAGUARUNA"", ""FUNDO MUNICIPAL DE SAUDE"", ""Fundo Municipal de Saúde"", ""FUNDO MUNICIPAL DE SAÚDE"", ""FUNDO MUNICIPAL DE SAÚDE DE ABELARDO LUZ"", ""FUNDO MUNICIPAL DE SAÚDE DE ÁGUAS MORNAS""]",4,"rank by ('n_contratos', 'valor_contratado_total'): n=27661, valor=87678236.81; min_contracts>=1",27748678236.81,3169.74,valor_contratado_total / n_contratos,"[""contrato_pncp""]",87678236.81,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",11145401000156,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 1}",11145401000156,24282,L A DALLA PORTA JUNIOR LTDA,"[""CÂMARA MUNICIPAL DE SÃO JOSÉ"", ""CAMBORIU CAMARA DE VEREADORES"", ""CIALAR"", ""COMITE DESPORTIVO MUNICIPAL DE SÃO LOURENÇO"", ""Consórcio Interfederativo de Saúde da Região da Amures - CISAMURES"", ""CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA"", ""CONSORCIO INTERMUNICIPAL DE ASSISTENCIA SOCIAL E SAUDE - CIASS"", ""CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO DA AMURES - CIS AMURES"", ""CONSORCIO INTERMUNICIPAL DE SAUDE E ASSISTENCIA SOCIAL"", ""CONSORCIO INTERMUNICIPAL DO MEDIO VALE DO ITAJAI - CIMVI\t"", ""Coordenadoria de Recursos Materiais"", ""EMPRESA MUNICIPAL DE AGUA E SANEAMENTO DE BALNEARIO CAMBORIU"", ""FUNDACAO AMBIENTAL AREA COSTEIRA DE ITAPEMA - FAACI"", ""FUNDACAO CULTURAL DE GUABIRUBA"", ""FUNDACAO CULTURAL DE SÃO BENTO DO SUL"", ""FUNDACAO CULTURAL DE SAO CARLOS"", ""FUNDACAO DE SAUDE DE LAURO MULLER"", ""FUNDACAO DO MEIO AMBIENTE DE GOVERNADOR CELSO RAMOS"", ""FUNDAÇÃO HOSPITALAR DR JOSÉ ATHANAZIO"", ""FUNDAÇÃO HOSPITALAR MUNICIPAL DE CANELINHA""]",5,"rank by ('n_contratos', 'valor_contratado_total'): n=24282, valor=43889091.76; min_contracts>=1",24325889091.76,1807.47,valor_contratado_total / n_contratos,"[""contrato_pncp""]",43889091.76,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",07752236000123,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 1}",07752236000123,23993,MEDILAR IMPORTAÇÃO E DISTRIBUIÇÃO DE PRODUTOS MEDICO HOSPITLARES,"[""CAMARA DE VEREADORES DO MUNICIPIO DE CANELINHA"", ""CAMARA MUNICIPAL DE CAÇADOR"", ""Consórcio Interfederativo de Saúde da Região da Amures - CISAMURES"", ""CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO DA AMURES - CIS AMURES"", ""CONSORCIO INTERMUNICIPAL DE SAUDE DO ALTO URUGUAI CATARINENSE"", ""CONSORCIO INTERMUNICIPAL DE SAUDE DO ALTO VALE DO RIO DO PEIXE"", ""CONSORCIO INTERMUNICIPAL DE SAUDE DO OESTE DE SC"", ""CONSORCIO INTERMUNICIPAL DO MEDIO VALE DO ITAJAI - CIMVI\t"", ""EBSERH - H U PROF POLYDORO ERNANI DE S THIAGO"", ""FUNDACAO CULTURAL DE GUABIRUBA"", ""FUNDACAO DE SAUDE DE LAURO MULLER"", ""FUNDAÇÃO HOSPITALAR DR JOSÉ ATHANAZIO"", ""FUNDAÇÃO HOSPITALAR MUNICIPAL DE CANELINHA"", ""FUNDACAO MUNICIPAL DE MEIO AMBIENTE DE TUBARAO"", ""FUNDACAO MUNICIPAL DE SAUDE DE TUBARAO"", ""Fundação Universidade Regional de Blumenau- SC"", ""FUNDO DE SAÚDE DO MUNICÍPIO DE MONTE CASTELO"", ""FUNDO MUNICIPAL DA SAUDE DE OURO"", ""FUNDO MUNICIPAL DA SAUDE DO MUNICÍPIO DE GRÃO-PARÁ"", ""FUNDO MUNICIPAL DA SAUDE DO MUNICÍPIO DE JAGUARUNA""]",6,"rank by ('n_contratos', 'valor_contratado_total'): n=23993, valor=82126390.95; min_contracts>=1",24075126390.95,3422.93,valor_contratado_total / n_contratos,"[""contrato_pncp""]",82126390.95,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",13965228000168,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 1}",13965228000168,22854,JLM DISTRIBUIDORA BR LTDA,"[""AGENCIA PUBLICA INTERMUNICIPAL DE SERVICOS DO VALE EUROPEU - APIS"", ""AGENCIA REGULADORA DE SANEAMENTO DE TUBARAO\t"", ""AGÊNCIA REGULADORA INTERMUNICIPAL DE SANEAMENTO - ARIS"", ""AGRONOMICA CAMARA DE VEREADORES"", ""ARARANGUA CAMARA DE VEREADORES"", ""BALNEARIO PIÇARRAS CAMARA MUNICIPAL DE VEREADORES"", ""CÂMARA DE VEREADORES DE AGROLÂNDIA"", ""CÂMARA DE VEREADORES DE ARROIO TRINTA"", ""CAMARA DE VEREADORES DE AURORA"", ""CÂMARA DE VEREADORES DE BALNEÁRIO CAMBORIÚ"", ""CAMARA DE VEREADORES DE BARRA VELHA"", ""CAMARA DE VEREADORES DE BIGUAÇU"", ""CAMARA DE VEREADORES DE IMBUIA"", ""CAMARA DE VEREADORES DE IRATI\t"", ""CÂMARA DE VEREADORES DE LAURENTINO"", ""CÂMARA DE VEREADORES DE PENHA"", ""CÂMARA DE VEREADORES DE PONTE ALTA"", ""CÂMARA DE VEREADORES DE POUSO REDONDO"", ""CAMARA DE VEREADORES DE SAO BERNARDINO"", ""CAMARA DE VEREADORES DE SAO CARLOS""]",7,"rank by ('n_contratos', 'valor_contratado_total'): n=22854, valor=20261704.86; min_contracts>=1",22874261704.86,886.57,valor_contratado_total / n_contratos,"[""contrato_pncp""]",20261704.86,CONTRATADO
